Date ,Sources,Count
9/03/2020,Local,1
19/03/2020,Local,2
21/03/2020,Local,1
22/03/2020,Local,1
24/03/2020,Local,2
25/03/2020,Local,2
26/03/2020,Local,2
27/03/2020,Local,6
28/03/2020,Local,6
29/03/2020,Local,12
30/03/2020,Local,20
1/04/2020,Local,26
2/04/2020,Local,10
3/04/2020,Local,22
5/04/2020,Local,18
6/04/2020,Local,5
7/04/2020,Local,2
8/04/2020,Local,17
9/04/2020,Local,0
10/04/2020,Local,8
11/04/2020,Local,1
12/04/2020,Local,0
13/04/2020,Local,18
14/04/2020,Local,0
15/04/2020,Local,17
16/04/2020,Local,35
17/04/2020,Local,51
18/04/2020,Local,49
19/04/2020,Local,86
20/04/2020,Local,38
21/04/2020,Local,117
22/04/2020,Local,91
23/04/2020,Local,108
24/04/2020,Local,114
25/04/2020,Local,87
26/04/2020,Local,91
27/04/2020,Local,64
28/04/2020,Local,195
29/04/2020,Local,196
30/04/2020,Local,204
1/05/2020,Local,238
2/05/2020,Local,220
3/05/2020,Local,170
4/05/2020,Local,245
5/05/2020,Local,148
6/05/2020,Local,195
7/05/2020,Local,381
27/02/2020,Imported,1
16/03/2020,Imported,1
18/03/2020,Imported,5
19/03/2020,Imported,2
21/03/2020,Imported,9
22/03/2020,Imported,7
23/03/2020,Imported,10
24/03/2020,Imported,2
25/03/2020,Imported,5
26/03/2020,Imported,12
27/03/2020,Imported,10
28/03/2020,Imported,10
29/03/2020,Imported,2
31/03/2020,Imported,8
1/04/2020,Imported,9
3/04/2020,Imported,3
4/04/2020,Imported,5
6/04/2020,Imported,1
7/04/2020,Imported,14
8/04/2020,Imported,5
9/04/2020,Imported,14
10/04/2020,Imported,9
11/04/2020,Imported,13
12/04/2020,Imported,4
13/04/2020,Imported,2
14/04/2020,Imported,30
15/04/2020,Imported,17
